sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	Gene3D	G3DSA:1.10.268.10	Topoisomerase, domain 3	373	458	0.0	T	06-08-2024	IPR013757	DNA topoisomerase, type IIA, alpha-helical domain superfamily	GO:0003677(InterPro)|GO:0003918(InterPro)|GO:0005524(InterPro)	Reactome:R-CEL-4615885|Reactome:R-DDI-4615885|Reactome:R-DME-4615885|Reactome:R-HSA-1362277|Reactome:R-HSA-4615885|Reactome:R-MMU-4615885|Reactome:R-RNO-4615885|Reactome:R-SCE-4615885|Reactome:R-SPO-4615885|Reactome:R-SSC-4615885
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	NCBIfam	TIGR01062	DNA topoisomerase IV subunit A	12	745	0.0	T	06-08-2024	-	-	-	-
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	Hamap	MF_00936	DNA topoisomerase 4 subunit A [parC].	8	747	34.130394	T	06-08-2024	IPR005742	DNA topoisomerase IV, subunit A, Gram-negative	GO:0003677(InterPro)|GO:0003918(InterPro)|GO:0005524(InterPro)|GO:0005694(InterPro)|GO:0006265(InterPro)	-
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	FunFam	G3DSA:2.120.10.90:FF:000003	DNA topoisomerase 4 subunit A	498	748	1.4E-128	T	06-08-2024	-	-	-	-
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	Pfam	PF03989	DNA gyrase C-terminal domain, beta-propeller	649	687	2.5	T	06-08-2024	IPR006691	DNA gyrase/topoisomerase IV, subunit A, C-terminal repeat	GO:0003677(InterPro)|GO:0003916(InterPro)|GO:0005524(InterPro)|GO:0006265(InterPro)	-
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	Pfam	PF03989	DNA gyrase C-terminal domain, beta-propeller	602	643	3.2	T	06-08-2024	IPR006691	DNA gyrase/topoisomerase IV, subunit A, C-terminal repeat	GO:0003677(InterPro)|GO:0003916(InterPro)|GO:0005524(InterPro)|GO:0006265(InterPro)	-
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	PANTHER	PTHR43493	DNA GYRASE/TOPOISOMERASE SUBUNIT A	9	709	0.0	T	06-08-2024	IPR050220	Type II DNA Topoisomerases	GO:0003677(PANTHER)|GO:0003918(PANTHER)|GO:0005524(PANTHER)|GO:0005737(PANTHER)|GO:0006265(PANTHER)|GO:0007059(PANTHER)|GO:0009330(PANTHER)	-
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	SMART	SM00434	topIV4	15	465	0.0	T	06-08-2024	IPR002205	DNA topoisomerase, type IIA, domain A	GO:0003677(InterPro)|GO:0003918(InterPro)|GO:0005524(InterPro)|GO:0006265(InterPro)	Reactome:R-CEL-4615885|Reactome:R-DDI-4615885|Reactome:R-DME-4615885|Reactome:R-HSA-1362277|Reactome:R-HSA-4615885|Reactome:R-MMU-4615885|Reactome:R-RNO-4615885|Reactome:R-SCE-4615885|Reactome:R-SPO-4615885|Reactome:R-SSC-4615885
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	SUPERFAMILY	SSF56719	Type II DNA topoisomerase	35	487	0.0	T	06-08-2024	IPR013760	DNA topoisomerase, type IIA-like domain superfamily	GO:0003918(InterPro)|GO:0005524(InterPro)	Reactome:R-CEL-4615885|Reactome:R-DDI-4615885|Reactome:R-DME-4615885|Reactome:R-HSA-1362277|Reactome:R-HSA-4615885|Reactome:R-MMU-4615885|Reactome:R-RNO-4615885|Reactome:R-SCE-4615885|Reactome:R-SPO-4615885|Reactome:R-SSC-4615885
sp|Q9HUK1|PARC_PSEAE	9a66a5cc3858efd0f4db379af502c939	754	Gene3D	G3DSA:3.90.199.10	Topoisomerase II, domain 5	36	487	0.0	T	06-08-2024	IPR013758	DNA topoisomerase, type IIA, domain A, alpha-beta	GO:0003677(InterPro)|GO:0003918(InterPro)|GO:0005524(InterPro)|GO:0006259(InterPro)|GO:0006265(InterPro)	Reactome:R-CEL-4615885|Reactome:R-DDI-4615885|Reactome:R-DME-4615885|Reactome:R-HSA-1362277|Reactome:R-HSA-4615885|Reactome:R-MMU-4615885|Reactome:R-RNO-4615885|Reactome:R-SCE-4615885|Reactome:R-SPO-4615885|Reactome:R-SSC-4615885
